Date, Close/Last, Volume, Open, High, Low
02/12/2021, 1823.2, 169671, 1825.4, 1825.1, 1819.1
02/11/2021, 1826.8, 143597, 1844.3, 1848.6, 1821.7
02/10/2021, 1842.7, 173508, 1838.3, 1856.6, 1834
02/09/2021, 1837.5, 151353, 1832.4, 1849.5, 1830.3
02/08/2021, 1834.2, 171978, 1818.1, 1840.6, 1807.3
02/05/2021, 1813, 202612, 1794.3, 1816, 1792.2
02/04/2021, 1791.2, 269731, 1834.5, 1835.7, 1784.6
02/03/2021, 1835.1, 134552, 1838.5, 1845.9, 1830.1
02/02/2021, 1833.4, 226676, 1863.6, 1866.3, 1830.4
02/01/2021, 1863.9, 237650, 1865, 1876, 1851.7
01/29/2021, 1850.3, 269474, 1845.6, 1851.7, 1843.8
01/28/2021, 1841.2, 270329, 1847.2, 1846.1, 1843.1
01/27/2021, 1848.9, 163249, 1854.3, 1847.6, 1841.5
01/26/2021, 1854.8, 89895, 1858.7, 1864.5, 1851.1
01/25/2021, 1859, 86197, 1858.6, 1870.9, 1850
01/22/2021, 1859.9, 74763, 1874, 1874.1, 1839.7
01/21/2021, 1869.3, 47567, 1875.6, 1874.5, 1870.8
01/20/2021, 1870.2, 51238, 1843.2, 1875.6, 1865.8
01/19/2021, 1840.2, 324829, 1828.8, 1845, 1800.8
01/15/2021, 1829.9, 224725, 1847.3, 1856.6, 1822.1
01/14/2021, 1851.4, 242126, 1845.6, 1853.6, 1843.4
01/13/2021, 1854.9, 203544, 1855, 1859.3, 1841.6
01/12/2021, 1844.2, 225729, 1845.4, 1856.9, 1854.3
01/11/2021, 1850.8, 253190, 1849.4, 1856, 1817.1
01/08/2021, 1835.4, 422485, 1915.2, 1918.4, 1827.8
01/07/2021, 1913.6, 192365, 1921.5, 1929.6, 1907.5
01/06/2021, 1908.6, 356182, 1952.8, 1962.5, 1902.6
01/05/2021, 1954.4, 192111, 1946, 1957, 1938.4
01/04/2021, 1946.6, 261675, 1908.2, 1948.7, 1906.1
12/31/2020, 1895.1, 127578, 1899, 1904.9, 1889.1
12/30/2020, 1893.4, 128688, 1881.8, 1899, 1879.5
12/29/2020, 1882.9, 145905, 1878, 1891.3, 1875.6
12/28/2020, 1880.4, 194545, 1887, 1904.1, 1873
12/24/2020, 1883.2, 87445, 1877.3, 1887.4, 1873.1
12/23/2020, 1878.1, 157856, 1865.6, 1883.7, 1860.9
12/22/2020, 1870.3, 173183, 1883, 1889.4, 1863.7
12/21/2020, 1882.8, 226997, 1892.9, 1912, 1859
12/18/2020, 1888.9, 149960, 1891.3, 1895.7, 1881.9
12/17/2020, 1890.4, 213170, 1868.4, 1902, 1865.9
12/16/2020, 1859.1, 196702, 1857.7, 1870, 1848.2
12/15/2020, 1855.3, 169218, 1830.5, 1859.3, 1828.5
12/14/2020, 1832.1, 166785, 1845, 1832.7, 1828.1
12/11/2020, 1843.6, 150634, 1840, 1851.8, 1826.8
12/10/2020, 1837.4, 162513, 1843, 1854.2, 1831.5
12/09/2020, 1838.5, 216843, 1875.4, 1875.9, 1828.2
12/08/2020, 1874.9, 147902, 1866.1, 1879.8, 1863.9
12/07/2020, 1866, 204259, 1841.1, 1870.8, 1862.1
12/04/2020, 1840, 167301, 1844.7, 1852.7, 1832
12/03/2020, 1841.1, 177988, 1833.9, 1847.4, 1826.7
12/02/2020, 1830.2, 182809, 1819.1, 1835.7, 1828.2
12/01/2020, 1818.9, 197184, 1780.3, 1821.1, 1778.4
11/30/2020, 1780.9, 235285, 1790.8, 1793.3, 1767.2
11/27/2020, 1788.1, 277091, 1812.1, 1822.6, 1776.5
11/25/2020, 1811.2, 121112, 1812, 1821.7, 1804.7
11/24/2020, 1810.9, 125089, 1842.6, 1813.1, 1807.4
11/23/2020, 1844.1, 106315, 1875.9, 1844.5, 1839.6
11/20/2020, 1872.4, 180515, 1864.8, 1873.9, 1868.7
11/19/2020, 1861.5, 217146, 1872, 1866.7, 1862
11/18/2020, 1873.9, 203979, 1879.5, 1871.5, 1868.2
11/17/2020, 1885.1, 155099, 1888.2, 1892.7, 1876.3
11/16/2020, 1887.8, 217991, 1886.6, 1898, 1861.5
11/13/2020, 1886.2, 158776, 1875.6, 1888.9, 1885.3
